Car_Name,Company,Year,Present_Price,Kms_Driven,Fuel_Type,Selling_Type,Transmission,Owner,Selling_Price
Swift,Maruti,2018,7.5,25000,Petrol,Dealer,Manual,0,5.8
City,Honda,2019,11.2,18000,Petrol,Dealer,Manual,0,9.2
Fortuner,Toyota,2020,35.0,15000,Diesel,Dealer,Automatic,0,31.5
i20,Hyundai,2017,8.2,32000,Petrol,Dealer,Manual,0,6.5
Creta,Hyundai,2021,16.5,12000,Diesel,Dealer,Automatic,0,14.8
Nexon,Tata,2019,9.8,28000,Petrol,Individual,Manual,0,8.2
Baleno,Maruti,2020,8.5,20000,Petrol,Dealer,Manual,0,7.4
Verna,Hyundai,2018,10.5,35000,Diesel,Dealer,Manual,1,8.1
Innova,Toyota,2017,18.5,45000,Diesel,Dealer,Manual,1,15.5
Thar,Mahindra,2021,14.5,10000,Diesel,Dealer,Manual,0,13.2
Alto,Maruti,2019,4.8,22000,Petrol,Individual,Manual,0,4.0
WagonR,Maruti,2018,5.5,30000,Petrol,Individual,Manual,0,4.5
Polo,Volkswagen,2017,7.0,38000,Petrol,Dealer,Manual,1,5.2
Vento,Volkswagen,2018,10.0,30000,Diesel,Dealer,Manual,0,7.8
Jazz,Honda,2019,8.0,25000,Petrol,Dealer,Automatic,0,6.9
Amaze,Honda,2020,9.5,18000,Diesel,Dealer,Manual,0,8.0
Civic,Honda,2017,17.0,40000,Petrol,Dealer,Automatic,1,13.5
Seltos,Kia,2020,17.5,16000,Diesel,Dealer,Automatic,0,15.5
Sonet,Kia,2021,11.5,10000,Petrol,Dealer,Manual,0,10.0
Harrier,Tata,2020,18.0,22000,Diesel,Dealer,Manual,0,15.8
Punch,Tata,2022,7.5,8000,Petrol,Individual,Manual,0,6.8
XUV500,Mahindra,2018,15.0,42000,Diesel,Dealer,Manual,1,11.8
Scorpio,Mahindra,2019,16.0,30000,Diesel,Dealer,Manual,0,14.0
Bolero,Mahindra,2017,9.0,50000,Diesel,Individual,Manual,1,6.5
Ertiga,Maruti,2020,10.5,24000,Petrol,Dealer,Manual,0,9.0
Ciaz,Maruti,2018,10.5,32000,Diesel,Dealer,Manual,0,8.2
Kiger,Renault,2022,8.5,7000,Petrol,Individual,Manual,0,7.8
Duster,Renault,2018,12.5,36000,Diesel,Dealer,Manual,1,9.5
Magnite,Nissan,2021,9.0,12000,Petrol,Dealer,Manual,0,8.0
Terrano,Nissan,2017,11.0,45000,Diesel,Dealer,Manual,1,7.5
